Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Guthman, J.","Binging and purging: agrofood capitalism and the body as socioecological fix",2015,"Environment and Planning A","47","12",,"2522","2536",,2,10.1068/a140005p,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950349679&partnerID=40&md5=254176472504c9f3832ae8e0ef20b6d2",Article,Scopus,2-s2.0-84950349679
"Alexopoulou, E., Zanetti, F., Scordia, D., Zegada-Lizarazu, W., Christou, M., Testa, G., Cosentino, S.L., Monti, A.","Long-Term Yields of Switchgrass, Giant Reed, and Miscanthus in the Mediterranean Basin",2015,"Bioenergy Research","8","4",,"1492","1499",,3,10.1007/s12155-015-9687-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947040337&partnerID=40&md5=0d2e4e4a38248fd3fc27a0caadde7496",Article,Scopus,2-s2.0-84947040337
"Müller, G., Várnai, A., Johansen, K.S., Eijsink, V.G.H., Horn, S.J.","Harnessing the potential of LPMO-containing cellulase cocktails poses new demands on processing conditions",2015,"Biotechnology for Biofuels","8","1", 187,"","",,6,10.1186/s13068-015-0376-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947967113&partnerID=40&md5=d47870c80da6f2f0c0d973f35ef1fdad",Article,Scopus,2-s2.0-84947967113
"Jiménez-Sánchez, G., Philp, J.","Genomics and the Bioeconomy: Opportunities to Meet Global Challenges",2015,"Genomics and Society: Ethical, Legal, Cultural and Socioeconomic Implications",,,,"207","238",,,10.1016/B978-0-12-420195-8.00011-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980316046&partnerID=40&md5=3e3c10f89d7018f0bb059f63a040cef2",Book Chapter,Scopus,2-s2.0-84980316046
"Kumar, D.","Socioeconomic Outcomes of Genomics in the Developing World",2015,"Genomics and Society: Ethical, Legal, Cultural and Socioeconomic Implications",,,,"239","258",,,10.1016/B978-0-12-420195-8.00012-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980416265&partnerID=40&md5=e0e20b5d88229c81a5aa8747a8e111dd",Book Chapter,Scopus,2-s2.0-84980416265
"Lamers, P., Tan, E.C.D., Searcy, E.M., Scarlata, C.J., Cafferty, K.G., Jacobson, J.J.","Strategic supply system design - a holistic evaluation of operational and production cost for a biorefinery supply chain",2015,"Biofuels, Bioproducts and Biorefining","9","6",,"648","660",,2,10.1002/bbb.1575,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954383620&partnerID=40&md5=9087ffd8ac1c168dc0d6e72f3a618fdf",Article,Scopus,2-s2.0-84954383620
"Lamers, P., Roni, M.S., Tumuluru, J.S., Jacobson, J.J., Cafferty, K.G., Hansen, J.K., Kenney, K., Teymouri, F., Bals, B.","Techno-economic analysis of decentralized biomass processing depots",2015,"Bioresource Technology","194",,,"205","213",,8,10.1016/j.biortech.2015.07.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937231888&partnerID=40&md5=70d5f3c4bc586a475024edc60217d37c",Article,Scopus,2-s2.0-84937231888
"Petrovič, U.","Next-generation biofuels: A new challenge for yeast",2015,"Yeast","32","9",,"583","593",,,10.1002/yea.3082,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940899743&partnerID=40&md5=a390d2fc6f97df690f77cef57ada6801",Article,Scopus,2-s2.0-84940899743
"O'Brien, M., Schütz, H., Bringezu, S.","The land footprint of the EU bioeconomy: Monitoring tools, gaps and needs",2015,"Land Use Policy","47",,,"235","246",,2,10.1016/j.landusepol.2015.04.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928658865&partnerID=40&md5=30b48c205e13ce4428fcf96c5529c49a",Article,Scopus,2-s2.0-84928658865
"Raddadi, N., Cherif, A., Daffonchio, D., Neifar, M., Fava, F.","Biotechnological applications of extremophiles, extremozymes and extremolytes",2015,"Applied Microbiology and Biotechnology","99","19",,"7907","7913",,4,10.1007/s00253-015-6874-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941187550&partnerID=40&md5=d0757b138405a1e4d09887782d4e45bb",Review,Scopus,2-s2.0-84941187550
"Cristóbal, J., Matos, C.T., Aurambout, J.-P., Manfredi, S., Kavalov, B.","Environmental sustainability assessment of bioeconomy value chains",2015,"Biomass and Bioenergy","89",,,"159","171",,,10.1016/j.biombioe.2016.02.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957661901&partnerID=40&md5=bbef966452d4c9f1e3f74c2e9fa0592c",Article,Scopus,2-s2.0-84957661901
"Levidow, L.","European transitions towards a corporate-environmental food regime: Agroecological incorporation or contestation?",2015,"Journal of Rural Studies","40",,,"76","89",,4,10.1016/j.jrurstud.2015.06.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933036473&partnerID=40&md5=502fce361e0b75f941149ac14bb018af",Article,Scopus,2-s2.0-84933036473
